Player Name,Runs,Balls Faced,Strike Rate,Sixes,Fours,Threes,Twos,Ones,Dot Balls,Dismissals,Caught Out,Bowled,Run Out,LBW,Retired Hurt,Stumped,Caught and Bowled,Hit Wicket,Obstructed Field 
MDKJ Perera,14.0,13.0,107.69230769230772,0.0,3.0,0.0,0.0,2.0,8.0,2.0,1,0,0,1,0,0,0,0,0
R Shukla,19.0,23.0,82.6086956521739,0.0,2.0,0.0,0.0,11.0,10.0,2.0,1,0,1,0,0,0,0,0,0
B Laughlin,4.0,9.0,44.444444444444436,0.0,0.0,0.0,0.0,4.0,5.0,1.0,0,1,0,0,0,0,0,0,0
AS Rajpoot,2.0,6.0,33.33333333333333,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0,0,0,0,0,0,0,0,0
M Vohra,728.0,580.0,125.51724137931036,26.0,72.0,7.0,46.0,166.0,262.0,29.0,16,5,3,1,0,0,4,0,0
JD Unadkat,3.0,8.0,37.5,0.0,0.0,0.0,0.0,3.0,5.0,1.0,1,0,0,0,0,0,0,0,0
Mohammed Shami,10.0,22.0,45.45454545454545,0.0,0.0,0.0,1.0,8.0,13.0,3.0,2,1,0,0,0,0,0,0,0
BMAJ Mendis,23.0,27.0,85.18518518518519,0.0,0.0,0.0,4.0,15.0,8.0,3.0,1,0,1,0,0,0,1,0,0
R Rampaul,51.0,52.0,98.07692307692308,2.0,3.0,0.0,6.0,15.0,26.0,5.0,4,0,0,1,0,0,0,0,0
CH Morris,285.0,178.0,160.11235955056182,17.0,18.0,0.0,21.0,69.0,53.0,8.0,2,3,3,0,0,0,0,0,0
SV Samson,1040.0,890.0,116.85393258426966,38.0,80.0,5.0,62.0,353.0,352.0,41.0,26,6,1,3,0,3,2,0,0
SMSM Senanayake,10.0,17.0,58.82352941176471,0.0,0.0,0.0,1.0,8.0,8.0,1.0,0,0,1,0,0,0,0,0,0
BJ Rohrer,193.0,146.0,132.1917808219178,5.0,21.0,1.0,14.0,48.0,57.0,7.0,3,4,0,0,0,0,0,0,0
KL Rahul,725.0,592.0,122.4662162162162,24.0,61.0,3.0,41.0,246.0,217.0,26.0,14,7,3,2,0,0,0,0,0
Q de Kock,726.0,566.0,128.26855123674915,21.0,90.0,3.0,19.0,188.0,244.0,25.0,19,2,1,1,0,1,1,0,0
R Dhawan,153.0,135.0,113.33333333333331,4.0,13.0,1.0,13.0,48.0,56.0,7.0,2,1,1,2,0,1,0,0,0
MG Johnson,131.0,140.0,93.57142857142857,6.0,7.0,0.0,11.0,45.0,71.0,14.0,6,6,1,0,0,1,0,0,0
LJ Wright,106.0,63.0,168.25396825396825,3.0,16.0,0.0,2.0,20.0,22.0,4.0,4,0,0,0,0,0,0,0,0
IC Pandey,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0,1,0,0,0,0,0,0,0
CM Gautam,169.0,158.0,106.96202531645572,6.0,17.0,3.0,8.0,40.0,84.0,9.0,7,0,0,1,0,1,0,0,0
X Thalaivan Sargunam,10.0,17.0,58.82352941176471,0.0,0.0,0.0,2.0,6.0,9.0,1.0,0,0,0,0,0,0,1,0,0
DJG Sammy,295.0,251.0,117.52988047808763,18.0,15.0,1.0,15.0,94.0,108.0,15.0,10,1,1,2,0,1,0,0,0
KW Richardson,36.0,39.0,92.30769230769228,1.0,2.0,0.0,3.0,16.0,17.0,3.0,2,0,0,0,0,0,1,0,0
MM Sharma,61.0,53.0,115.09433962264151,3.0,4.0,1.0,3.0,18.0,24.0,7.0,4,2,1,0,0,0,0,0,0
